കവിതകൾ/ പാട്ടുകൾ,വൃത്തം,Poet,Type
ദേവതപോലിവൾ മിന്നി,,T. കരുണാകരൻ,കവിത
കഞ്ഞിക്കിനി മേൽ വെള്ളം വയ്ക്കുക,,T. കരുണാകരൻ,കവിത
കണ്ണീർ കൊണ്ടാണെന്നും,,T. കരുണാകരൻ,കവിത
ആറ്റുവക്കത്തു പൂത്തിളം,,T. കരുണാകരൻ,കവിത
കാറ്റത്താടിനിൽക്കും കടമ്പിന്റെ കൊമ്പും,,T. കരുണാകരൻ,കവിത
വെണ്ണിലാവുമങ്ങി  തെന്നൽ വീണുറങ്ങി,,T. കരുണാകരൻ,കവിത
ശിഥിലമെൻ വിപഞ്ചിക വ്യഥിതമെൻ കരാംഗുലി,,T. കരുണാകരൻ,കവിത
ഒന്നിച്ചു സഹസ്രാബ്ദനിദ്ര വിട്ടെഴുന്നേറ്റു,കേക,T. കരുണാകരൻ,കവിത
വന്നീടും പ്രേതങ്ങൾ തൻ കാൽപ്പെരുമാറ്റം പോലെ,കേക,T. കരുണാകരൻ,കവിത
ഒഴിഞ്ഞ വനികയിലൊന്നോ രണ്ടോ,ഊനതരംഗിണി,T. കരുണാകരൻ,കവിത
കൊഴിഞ്ഞ പൂ മാത്രം,,T. കരുണാകരൻ,കവിത
പുന്നമരത്തണൽ വെൺമണൽത്തീരത്തു,,T. കരുണാകരൻ,കവിത
നിന്നെത്തി നോക്കും കുളക്കടവിൽ,,T. കരുണാകരൻ,കവിത
പാറീ ശ്മശാന പുഷ്പങ്ങൾ തൻ സൗരഭം,,T. കരുണാകരൻ,കവിത
പാതിരാവിന്റെ തണുക്കുന്ന തെന്നലിൽ,,T. കരുണാകരൻ,കവിത
ജാലകവാതിൽ തുറക്കൂ സഖീ,,T. കരുണാകരൻ,കവിത
ചാറും മുകിലിനെയെതിരേൽക്കാൻ,,T. കരുണാകരൻ,കവിത
ഇന്ത്യതൻ കവിളത്തു വാർമിന്നൽ തിളക്കമാ,കേക,T. കരുണാകരൻ,കവിത
യിന്ദ്രക്കാർ മുകമായും മിന്നുക സൗന്ദര്യമേ,കേക,T. കരുണാകരൻ,കവിത
മൂകത വിട്ടു നീ പാടുക,,T. കരുണാകരൻ,കവിത
കൊച്ചൊരു മൂളിപ്പാട്ടെങ്കിലും കൂട്ടുകാരാ,,T. കരുണാകരൻ,കവിത
വേദനയുടെ കല്ലിൻപുറങ്ങളിൽ,,T. കരുണാകരൻ,കവിത
വീണു ചിന്നിത്തകർന്ന കിനാവുമായ്,,T. കരുണാകരൻ,കവിത
നീലനീലമാം കായലിൽ നീന്താൻ,,T. കരുണാകരൻ,കവിത
ചേല മാനത്തഴിച്ചിടുന്നന്തി,,T. കരുണാകരൻ,കവിത
ഏദനിൽ ദൈവത്തിന്റെ കൽപ്പന ലംഘിച്ചുകൊ,കേക,T. കരുണാകരൻ,കവിത
ണ്ടാദ്യത്തെ വസന്തവും വന്നുചേർന്നാനന്ദവും,കേക,T. കരുണാകരൻ,കവിത
ഈ മലർച്ചാർത്തിന്റെ തൂമണമെങ്കിലും,,T. കരുണാകരൻ,കവിത
കാമുകന്നേകുമോ കാറ്റേ?,,T. കരുണാകരൻ,കവിത
പൊന്നരിവാളിൻ തിളക്കത്തിനൊപ്പമാ,,T. കരുണാകരൻ,കവിത
കുഞ്ഞിക്കുയിൽപ്പാട്ടു കേൾപ്പിച്ച വൈഭവം,,T. കരുണാകരൻ,കവിത
മുത്തണിഞ്ഞ ചിലങ്കകളോടേ നൃത്തമാടുക തോഴി,,T. കരുണാകരൻ,കവിത
കാട്ടുപൂമണമേറ്റു  വന്നെത്തിടും  ,,T. കരുണാകരൻ,കവിത
കാറ്റിനോടു കഥ പറഞ്ഞീടവേ,,T. കരുണാകരൻ,കവിത
തെളിനീർപ്പൂഞ്ചോലകളൊഴുകീ കളലോലം,കേക,T. കരുണാകരൻ,കവിത
കുളിരായാനന്ദമായഴകായ് സ്വാതന്ത്ര്യമായ്,കേക,T. കരുണാകരൻ,കവിത
കണ്ണുനീരും വിഷാദവുമിന്നീ,,T. കരുണാകരൻ,കവിത
മണ്ണിൽനിന്നും മറഞ്ഞുപോകട്ടെ,,T. കരുണാകരൻ,കവിത
ഹാ കറുത്തവരുടെ ജീവിതത്തിനു വെട്ടമേകുവാൻ,കേക,T. കരുണാകരൻ,കവിത
ജീവൻ തുടുപന്തമാക്കിയ ധീര,കേക,T. കരുണാകരൻ,കവിത
ചുവന്ന പൂക്കളും തളിരുകളുമായ,,T. കരുണാകരൻ,കവിത
വതരിക്കുക  വസന്തകാലമേ,,T. കരുണാകരൻ,കവിത
ചോരയാണിതു ചോര  ആരുടെ? ഒരു വെള്ള,കേക,T. കരുണാകരൻ,കവിത
ക്കാരന്റെ? നീഗ്രോവിൻറെ? അഥവാ  മനുഷ്യന്റെ?,കേക,T. കരുണാകരൻ,കവിത
വരുമല്ലോ ഞങ്ങളിനി നാളെപ്പുലർ വേളയിലി,,T. കരുണാകരൻ,കവിത
ത്തിരുമണ്ണിൻ  സ്വാതന്ത്ര്യം പ്രഖ്യാപിക്കാൻ,,T. കരുണാകരൻ,കവിത
കാളിമ നീളെപ്പരക്കുന്നു  മാനത്തു,,T. കരുണാകരൻ,കവിത
കാറ്റടിക്കുന്നു മഴയിരമ്പുന്നുവോ?,,T. കരുണാകരൻ,കവിത
മേയ് ദിനപ്രഭാതമേ നീ വന്നുവല്ലോ വീണ്ടും,കേക,T. കരുണാകരൻ,കവിത
പാതിരാവിനെ വാഴ്ത്തിപ്പാടുമെൻ ഗ്രാമത്തിലും,കേക,T. കരുണാകരൻ,കവിത
വളരെയുണ്ടുഗ്രരോഷമീ  ഞങ്ങളിൽ,,T. കരുണാകരൻ,കവിത
തുടരെ ഞങ്ങളനാഥരാകുന്നതിൽ,,T. കരുണാകരൻ,കവിത
വേനലേറ്റു നീരാവിയായ്പ്പൊങ്ങും,,T. കരുണാകരൻ,കവിത
വേർപ്പുനീർ വർഷമേഘങ്ങളാകും,,T. കരുണാകരൻ,കവിത
തെരുതെരെച്ചാറും  മഴയുടെ,,T. കരുണാകരൻ,കവിത
താളമിരുളിലങ്ങനെ മുറുകുമ്പോൾ,,T. കരുണാകരൻ,കവിത
തിന്നുവാൻ താളും തകരയുമിഷ്ടംപോലെ,,T. കരുണാകരൻ,കവിത
ന്നുമതിന്നൊരു പഞ്ഞമില്ല,,T. കരുണാകരൻ,കവിത
ഉത്തരക്കടലാസ്സു നോക്കുമ്പൊഴദ്ധ്യാപകൻ,കേക,T. കരുണാകരൻ,കവിത
സ്തബ്ധനാകുന്നൂ ക്ഷണം പുഞ്ചിരിക്കുന്നൂ പിന്നെ,കേക,T. കരുണാകരൻ,കവിത
വീര്യമെല്ലാം പുതപ്പിനാൽ മൂടി,,T. കരുണാകരൻ,കവിത
ധീരനായ ഞാനൊന്നുറങ്ങട്ടെ,,T. കരുണാകരൻ,കവിത
അന്തിമ ലക്ഷ്യമകലെയാണെങ്കിലും,,T. കരുണാകരൻ,കവിത
പിന്തിരിയാതെയും വേർപിരിയാതെയും,,T. കരുണാകരൻ,കവിത
നനഞ്ഞ ഭാണ്ഡം തോളിലേറ്റുന്നു വടി കുത്തി,കേക,T. കരുണാകരൻ,കവിത
നടകൊളളുന്നു നന്നേ തളർന്ന കാൽവയ്‌പോടെ,കേക,T. കരുണാകരൻ,കവിത
വെള്ളിതൻ നേർത്ത കമ്പികൾപോലെ,,T. കരുണാകരൻ,കവിത
മെല്ലെ മെല്ലെ മഴ പൊഴിയുന്നു,,T. കരുണാകരൻ,കവിത
ഏകലോകത്തിൻ  സ്നേഹ സൗവർണ്ണധ്വജത്തിൻ,കേക,T. കരുണാകരൻ,കവിത
മേലേറ്റുവിൻ  നിരാമയശാന്തിതൻ കൊടിക്കൂറ,കേക,T. കരുണാകരൻ,കവിത
ഓടിച്ചാടി നടന്നൂ കുട്ടികളോണപ്പൂവുകൾ  തേടി,,T. കരുണാകരൻ,കവിത
തീരെപ്പട്ടിണിയാണെന്നാലും ചോര തിളയ്ക്കും കൂട്ടം,,T. കരുണാകരൻ,കവിത
ഇന്നു സന്ധ്യതൻ സൗന്ദര്യവാടിയിൽ,,T. കരുണാകരൻ,കവിത
ചെന്നിരുന്നൊരു പാട്ടുപാടട്ടെ ഞാൻ,,T. കരുണാകരൻ,കവിത
പോകാനോരിടമെന്നും തേടേണ്ടത് നീ തന്നെ,,പ്രിയ വേണുഗോപാൽ,കവിത
കൂടുമ്പോളിമ്പമായ് മാറും കുടുംബം,,പ്രിയ വേണുഗോപാൽ,കവിത
ചേരുമ്പോൾ ശീതളമാകും ഹൃദന്തം,,പ്രിയ വേണുഗോപാൽ,കവിത
ഒന്നിൽനിന്നൊന്നിലേയ്ക്കോടിയെത്തുന്നൊരാ,,പ്രിയ വേണുഗോപാൽ,കവിത
ഓർമ്മകൾക്കൊട്ടുമേ പഞ്ഞമില്ല,,പ്രിയ വേണുഗോപാൽ,കവിത
കുറ്റം പറഞ്ഞിട്ടു കാര്യമില്ലിന്നെടോ,,പ്രിയ വേണുഗോപാൽ,കവിത
ഒറ്റയ്ക്ക് പൊരുതുന്നതാണ് ഭദ്രം,,പ്രിയ വേണുഗോപാൽ,
തെറ്റാതെ ശരികൾ നടപ്പാക്കുവാനിന്നൊ,,പ്രിയ വേണുഗോപാൽ,കവിത
രൊറ്റയാനെക്കടന്നാരുണ്ടഹോ,,പ്രിയ വേണുഗോപാൽ,കവിത
കണ്ണട വച്ചാലും വയ്ക്കാതിരുന്നാലും,,പ്രിയ വേണുഗോപാൽ,കവിത
കണ്ടതിൽ കാര്യം തിരഞ്ഞിടണ്ടേ?,,പ്രിയ വേണുഗോപാൽ,
അഴലാറ്റി മഴൽനീക്കി വഴികാട്ടിടാൻ,,പ്രിയ വേണുഗോപാൽ,കവിത
കനിയേണമെന്നും കെടാവിളക്കേ,,പ്രിയ വേണുഗോപാൽ,
സന്ധ്യക്കു സന്ദേഹമേതുമില്ലാതെയ,,പ്രിയ വേണുഗോപാൽ,കവിത
ഖണ്ഡമായ് ദീപം തെളിച്ചീടണം,,പ്രിയ വേണുഗോപാൽ,
ഇന്നലെത്തർക്കങ്ങൾ ഇന്നിൻ വഴക്കുകൾ,,പ്രിയ വേണുഗോപാൽ,കവിത
നാളേയ്ക്ക് മുന്നേ പറഞ്ഞുതീർക്കാം,,പ്രിയ വേണുഗോപാൽ,
പടാപടാന്ന് മാറിടം മിടിച്ചുവെങ്കിലോർത്തിടിൻ,പഞ്ചചാമരം,പ്രിയ വേണുഗോപാൽ,കവിത
ചൊടിയൊടിനിയുമോടിടാൻ തടിക്കു കേടതില്ലെടോ,പഞ്ചചാമരം,പ്രിയ വേണുഗോപാൽ,
വലുതാകാൻ നീ വെറുതെയിരി,,പ്രിയ വേണുഗോപാൽ,കവിത
വലിയവനാകാൻ വഴി നീ തിരി,,പ്രിയ വേണുഗോപാൽ,കവിത
പലപല നാളുകൾ ഞാനൊരു,,പി. ഗംഗാധരൻനായർ,കവിത
പുഴുവായ് പവിഴക്കൂട്ടിലുറങ്ങി,,പി. ഗംഗാധരൻനായർ,
നീലനിശീഥിനി നിൻ മണിമേടയിൽ,,,
നിദ്രാവിഹീനയായ്‌ നിന്നു,,,
ജാലകവാതിലിൻ വെള്ളി കൊളുത്തുകൾ,,,
താളത്തിൽ കാറ്റിൽ കിലുങ്ങീ,,,
കുഞ്ഞുണ്ണിക്കൊരു മോഹം,,,
എന്നും കുഞ്ഞായിട്ടു രമിക്കാൻ,,,
സത്യമേ ചൊല്ലാവൂ ധർമ്മമേ ചെയ്യാവൂ,,,
നല്ലതേ നൽകാവൂവേണ്ടതേ വാങ്ങാവൂ,,,
ഒരു വളപ്പൊട്ടുണ്ടെൻ കയ്യിൽ ഒരു മയിൽപ്പിലിയുണ്ടെന്നുള്ളിൽ,,,
വിരസ നിമിഷങ്ങൾ സരസമാക്കുവാനിവ,,,
ധാരാളമാണെനിക്കെന്നും.,,,
ജീവിതം നല്ലതാണല്ലോ മരണം ചീത്തയാകയാൽ,,,
ഉടുത്ത മുണ്ടഴിച്ചിട്ടു പുതച്ചങ്ങു കിടക്കുകിൽ,,,
മരിച്ചങ്ങു കിടക്കുമ്പോഴുള്ളതാം സുഖമുണ്ടിടാം.,,,
ഞാനെന്റെ മീശ ചുമന്നതിന്റെ കൂലിചോദിക്കാൻ,,,
ഞാനെന്നോടു ചൊന്നപ്പോൾ,,,
ഞാനെന്നെ തല്ലുവാൻ വന്നു.,,,
എത്രമേലകലാം ഇനിയടുക്കാനിടമില്ലെന്നതുവരെ,,,
എത്രമേലടുക്കാം ഇനിയകലാനിടമില്ലെന്നതുവരെ.,,,
എനിക്കുണ്ടൊരു ലോകം നിനക്കുണ്ടൊരു ലോകം,,,
നമുക്കില്ലൊരു ലോകം,,,
മഴ മേലോട്ട് പെയ്താലേ വിണ്ണു മണ്ണുള്ളതായ് വരൂ,,,
മണ്ണുള്ള ദിക്കിലുള്ളോർക്കേ കണ്ണു കീഴോട്ടു കണ്ടിടൂ,,,
കാലമില്ലാതാകുന്നു ദേശമില്ലാതാകുന്നു,,,
കവിതേ നീയെത്തുമ്പോൾ ഞാനുമില്ലാതാകുന്നു,,,
പൊക്കമില്ലാത്തതാണെന്റെ പൊക്കം,,,
മന്ത്രിയായാൽ മന്ദനാകും,,,
മഹാ മാർക്സിസ്റ്റുമീ  മഹാഭാരതഭൂമിയിൽ,,,
മഴയും വേണം കുടയും വേണം കുടിയും വേണം,,,
കുടിയിലൊരിത്തിരി തീയും വേണം,,,
ശ്വാസം ഒന്ന്  വിശ്വാസം പലത്,,,
ശ്വാസമാവശ്യം ആശ്വാസമാവശ്യം,,,
വിശ്വാസമത്യാവശ്യം,,,
കപടലോകത്തിലെന്നുടെ കാപട്യം,,,
സകലരും കാണ്മതാണെൻ പരാജയം,,,
ആറുമലയാളിക്കു നൂറുമലയാളം,,,
അരമലയാളിക്കുമൊരു മലയാളം,,,
കുരിശേശുവിലേശുമോ?,,,
യേശുവിലാണെൻ വിശ്വാസം,,,
കീശയിലാണെൻ ആശ്വാസം.,,,
റസൂലേ നിൻ കനിവാലെ റസൂലേ റസൂലേ,,,
റസൂലേ നിൻ വരവാലേ റസൂലേ റസൂലേ,,,
ശംഖുപുഷ്‌പം കണ്ണെഴുതുമ്പോൾ,,,സിനിമാ ഗാനം 
ശകുന്തളേ നിന്നെ ഓർമ്മ വരും,,,സിനിമാ ഗാനം 
അകലെ അകലെ നീലാകാശം അലതല്ലും മേഘ തീർഥം,,,സിനിമാ ഗാനം 
അരികിലെന്റെ ഹൃദയാകാശം അലതല്ലും രാഗതീർഥം...,,,സിനിമാ ഗാനം 
പ്രാണനാഥൻ എനിക്കു നൽകിയ,,,സിനിമാ ഗാനം 
പരമാനന്ദരസത്തെ പറവതിനെളുതാമോ,,,സിനിമാ ഗാനം 
കരിമുകിൽ കാട്ടിലെ രജനിതൻ വീട്ടിലെ,,,സിനിമാ ഗാനം 
കനകാംബരങ്ങൾ വാടി,,,
ചന്ദ്രികയിലലിയുന്നു ചന്ദ്രകാന്തം,,,
നിൻ ചിരിയിലലിയുന്നെൻ ജീവരാഗം,,,സിനിമാ ഗാനം 
ആയിരം പാദസരങ്ങൾ കിലുങ്ങി,,,സിനിമാ ഗാനം 
ആലുവാപ്പുഴ പിന്നെയുമൊഴുകി,,,
കായാമ്പൂ കണ്ണിൽ വിടരും,,,
കമലദളം കവിളിൽ വിടരും,,,
ചന്ദനപ്പല്ലക്കിൽ വീടുകാണാൻ,,,സിനിമാ ഗാനം 
വന്ന ഗന്ധർവ രാജകുമാരാ,,,
പാവാട പ്രായത്തിൽ നിന്നെ ഞാൻ,,,
കണ്ടപ്പോൾ താമരമൊട്ടായിരുന്നു നീ,,,സിനിമാ ഗാനം 
ഇക്കരെയാണെന്റെ താമസം,,,സിനിമാ ഗാനം 
അക്കരെയാണെന്റെ മാനസം,,,
ഇന്ദ്രനീല യവനിക ഞൊറിഞ്ഞു,,,സിനിമാ ഗാനം 
ചന്ദ്രലേഖ മണിയറ തുറന്നു,,,
അഞ്ജനക്കണ്ണെഴുതി ആലിലത്താലി ചാർത്തി,,,സിനിമാ ഗാനം 
അറപ്പുര വാതിലിൽ ഞാൻ കാത്തിരുന്നു,,,സിനിമാ ഗാനം 
ചെട്ടികുളങ്ങര ഭരണിനാളിൽ,,,സിനിമാ ഗാനം 
ഉത്സവം കണ്ടുനടക്കുമ്പോൾ,,,
കണ്ണുനീർത്തുള്ളിയെ സ്ത്രീയോടുപമിച്ച,,,
കാവ്യഭാവനേ...അഭിനന്ദനം....,,,
നിനക്കഭിനന്ദനം... അഭിനന്ദനം ... അഭിനന്ദനം.. അഭിനന്ദനം...,,,സിനിമാ ഗാനം 
പെരിയാറേ പെരിയാറേ പർവ്വതനിരയുടെ പനിനീരേ,,,സിനിമാ ഗാനം 
ഒരിടത്തു ജനനം ഒരിടത്തു മരണം,,,സിനിമാ ഗാനം 
ചുമലിൽ ജീവിത ഭാരം,,,
പൂവല്ല പൂന്തളിരല്ല  മാനത്തെ മണിവില്ലല്ലാ,,,സിനിമാ ഗാനം 
മാടപ്രാവേ വാ ഒരു കൂടുകൂട്ടാൻ വാ,,,സിനിമാ ഗാനം 
മാനെന്നും വിളിക്കില്ല മയിലെന്നും വിളിക്കില്ല മാടത്തിൻ മണിവിളക്കേ,,,സിനിമാ ഗാനം 
നിന്നെ ഞാൻ മാടത്തിൻ മണിവിളക്കേ,,,
പുലയനാർ മണിയമ്മ പൂമുല്ലക്കാവിലമ്മ,,,സിനിമാ ഗാനം 
കലമാന്‍റെ മിഴിയുള്ള കളിത്തത്തമ്മ,,,
എന്റെ സ്വപ്നത്തിൻ താമരപ്പൊയ്കയിൽ,,,സിനിമാ ഗാനം 
വന്നിറങ്ങിയ രൂപവതീ,,,
മാനസ മൈനേ വരൂ..മധുരം നുള്ളി തരൂ,,,
പെണ്ണാളേ പെണ്ണാളേ  കരിമീൻ കണ്ണാളേ കണ്ണാളേ,,,സിനിമാ ഗാനം 
ശരദിന്ദു മലർദീപ നാളം നീട്ടി,,,സിനിമാ ഗാനം 
സുരഭിലയാമങ്ങൾ ശ്രുതി മീട്ടി,,,
വെളുക്കുമ്പം കുളിക്കുവാൻ പോകുന്ന,,,സിനിമാ ഗാനം 
വഴിവക്കിൽ വേലിക്കൽ നിന്നവനേ,,,
വെള്ളിനക്ഷത്രമേ നിന്നെ നോക്കി,,,സിനിമാ ഗാനം 
തുള്ളിത്തുളുമ്പുകയെന്തേ,,,
ഒന്നാനാം കുന്നിന്മേൽ  കൂടു കൂട്ടും തത്തമ്മേ,,,സിനിമാ ഗാനം 
നീയെന്റെ തേന്മാവിൽ ഊഞ്ഞലാടാൻ വാ,,,
പാവാട വേണം  മേലാട വേണം പഞ്ചാരപ്പനങ്കിളിക്ക്,,,സിനിമാ ഗാനം 
സൂര്യകാന്തീ സൂര്യകാന്തീ സ്വപ്നം കാണുവതാരേ,,,സിനിമാ ഗാനം 
ആത്മ വിദ്യാലയമേ അവനിയിൽ ആത്മ വിദ്യാലയമേ,,,സിനിമാ ഗാനം 
കദളിവാഴക്കയ്യിലിരുന്ന് കാക്കയിന്നു വിരുന്നു വിളിച്ച്,,,സിനിമാ ഗാനം 
വിരുന്നുകാരാ വിരുന്നുകാരാ വിരുന്നുകാരാ വന്നാട്ടെ,,,
നുണക്കുഴിക്കവിളിൽ,,,സിനിമാ ഗാനം 
നഖച്ചിത്രമെഴുതും താരേ  താരേ,,,
ഹൃദയസരസ്സിലെ പ്രണയ പുഷ്പമേ,,,സിനിമാ ഗാനം 
ഇനിയും നിൻ കഥ പറയൂ,,,
താമസമെന്തേ വരുവാൻ പ്രാണസഖീ എന്റെ മുന്നിൽ,,,സിനിമാ ഗാനം 
കാറ്റടിച്ചു കൊടുങ്കാറ്റടിച്ചു,,,സിനിമാ ഗാനം 
കായലിലെ വിളക്കുമരം കണ്ണടച്ചു,,,
ശ്രീനഗരത്തിലെ ചിത്രവനത്തിലെ,,,സിനിമാ ഗാനം 
ശിശിര മനോഹര ചന്ദ്രികേ,,,
താഴമ്പൂ മണമുള്ള തണുപ്പുള്ള രാത്രിയിൽ,,,സിനിമാ ഗാനം 
തനിച്ചിരുന്നുറങ്ങുന്ന ചെറുപ്പക്കാരീ,,,
ചെത്തി മന്ദാരം തുളസി പിച്ചക മാലകൾ ചാർത്തി,,,സിനിമാ ഗാനം 
ഗുരുവായൂരപ്പാ നിന്നെ കണി കാണേണം,,,
നാളീകേരത്തിന്റെ നാട്ടിലെനിക്കൊരു,,,സിനിമാ ഗാനം 
നാഴിയിടങ്ങഴി മണ്ണുണ്ട്‌,,,
ഉണരു വേഗം നീ സുമറാണി വന്നു നായകൻ,,,സിനിമാ ഗാനം 
പ്രേമത്തിൻ മുരളി ഗായകൻ,,,
നീ മധുപകരു മലർചൊരിയു,,,സിനിമാ ഗാനം 
അനുരാഗ പൌർണമിയേ,,,
എന്റെ മൺ‌വീണയിൽ കൂടണയാനൊരു,,,സിനിമാ ഗാനം 
മൗനം പറന്നു പറന്നു വന്നു,,,
അരികിൽ നീയുണ്ടായിരുന്നെങ്കിലെന്നു ഞാൻ,,,സിനിമാ ഗാനം 
ഒരു മാത്ര വെറുതേ നിനച്ചു പോയീ,,,
വാതിൽപ്പഴുതിലൂടെൻ‌മുന്നിൽ കുങ്കുമം,,,സിനിമാ ഗാനം 
വാരിവിതറും ത്രിസന്ധ്യ പോലേ,,,
അന്നു നിന്റെ നുണക്കുഴി തെളിഞ്ഞിട്ടില്ല,,,സിനിമാ ഗാനം 
അന്നു നിന്റെ കവിളിത്ര ചുമന്നിട്ടില്ല,,,
പ്രാണസഖീ ഞാൻ വെറുമൊരു,,,സിനിമാ ഗാനം 
പാമരനാം പാട്ടുകാരൻ,,,
ഒരു പുഷ്പം മാത്രമെൻ,,,സിനിമാ ഗാനം 
പൂങ്കുലയിൽ നിർത്താം ഞാൻ,,,
അല്ലിയാമ്പൽ കടവിലന്നരയ്ക്കു വെള്ളം,Nathonnata,,സിനിമാ ഗാനം 
അന്നു നമ്മളൊന്നായ്‌ തുഴഞ്ഞില്ലേ കൊതുമ്പു വള്ളം,Nathonnata,,
അന്നു നിന്നെ കണ്ടതിൽ പിന്നെ,,,സിനിമാ ഗാനം 
അനുരാഗമെന്തെന്നു ഞാനറിഞ്ഞു,,,
മഞ്ഞലയിൽ മുങ്ങിത്തോർത്തി,,,സിനിമാ ഗാനം 
മധുമാസ ചന്ദ്രിക വന്നു,,,
നാദബ്രഹ്മത്തിന്‍ സാഗരം നീന്തിവരും,,,സിനിമാ ഗാനം 
നാകസുന്ദരിമാരേ,,,
കല്‍പ്പനാകാകളികൾ മൂളി,,,സിനിമാ ഗാനം 
വന്നെത്തുമെന്റെ സ്വപ്നചകോരങ്ങളേ,,,
ആറാട്ടിന്നാനകൾ എഴുന്നള്ളീ ആഹ്ലാദസമുദ്രം തിരതല്ലീ,,,സിനിമാ ഗാനം 
ഈശ്വരചിന്തയിതൊന്നേ മനുജനു ശാശ്വതമീയുലകിൽ,,,സിനിമാ ഗാനം 
അന്നത്തിനും പഞ്ഞമില്ല സ്വർണ്ണത്തിനും പഞ്ഞമില്ല,,,സിനിമാ ഗാനം 
മന്നിതിൽ കരുണക്കാണു പഞ്ഞം സഹോദരരേ,,,
പാട്ടുപാടി ഉറക്കാം  ഞാൻ താമരപ്പൂമ്പൈതലേ,,,സിനിമാ ഗാനം 
മദം പൊട്ടിച്ചിരിക്കുന്ന മാനം,,,സിനിമാ ഗാനം 
മനം പൊട്ടിക്കരയുന്ന ഭൂമി,,,
നിൻ മണിയറയിലെ നിർമ്മലശയ്യയിലെ,,,സിനിമാ ഗാനം 
നീല നീരാളമായ് ഞാൻ മാറിയെങ്കിൽ,,,
സുമംഗലീ നീയോർമ്മിക്കുമോ,,,സിനിമാ ഗാനം 
സ്വപ്നത്തിലെങ്കിലും ഈ ഗാനം,,,
ആദ്യത്തെ കണ്മണി ആണായിരിക്കണം,,,സിനിമാ ഗാനം 
ആരുമേ കണ്ടാൽ കൊതിക്കണം,,,
പാരിജാതം തിരുമിഴി തുറന്നു,,,സിനിമാ ഗാനം 
പവിഴമുന്തിരി പൂത്തു വിടർന്നു,,,
പതിനാലാം രാവുദിച്ചത് മാനത്തോ കല്ലായിക്കടവത്തോ,,,സിനിമാ ഗാനം 
കാക്കത്തമ്പുരാട്ടി കറുത്ത മണവാട്ടി കൂടെവിടെ... കൂടെവിടെ,,,സിനിമാ ഗാനം 
മാർകഴിയിൽ മല്ലിക പൂത്താൽ മണ്ണാർക്കാട് പൂരം,,,സിനിമാ ഗാനം 
കസ്തൂരിത്തൈലമിട്ട് മുടിമിനുക്കീ,,,സിനിമാ ഗാനം 
മുത്തോടുമുത്തുവെച്ച വളകിലുക്കീ,,,
പടിഞ്ഞാറൻ കടൽക്കരെ പകലന്തി മയങ്ങുമ്പോൾ,,,സിനിമാ ഗാനം 
ഉറുമാലും തുന്നിക്കൊണ്ടിരിപ്പാണ്,,,
പുതുമുത്തമണിയിച്ചു പുളകങ്ങൾ പുതപ്പിച്ചു,,,സിനിമാ ഗാനം 
പൂണാരം തരുമൊരു പുതുമാരൻ,,,
പതിനാലാം ബഹറിലെ പവിഴക്കല്‍പ്പടവിലെ,,,സിനിമാ ഗാനം 
പനിനീർപ്പൂവിറുത്തുനീ നല്‍കേണം,,,
മന്ദസമീരനിൽ ഒഴുകിയൊഴുകിയെത്തും ഇന്ദ്രചാപം നീ,,,സിനിമാ ഗാനം 
ഏഴു സ്വരങ്ങളും തഴുകിവരുന്നൊരു ഗാനം,,,സിനിമാ ഗാനം 
അകലെയൊരു മലമുകളിലാർദ്രമന്ദസ്മിതം,,,കവിത
തടവി വിടരും പൂവനത്തിന്റെ ഛായയിൽ,,,
അടിമുടി പുളകം പൂണ്ടേ നിൽപ്പാ,,,
ണിടയപ്പെൺകൊടി തുമ്പപ്പൂച്ചെടി,,,
കണികാണും നേരം കമലനേത്രന്റെ,,,traditional
നിറമേറും മഞ്ഞത്തുകിൽ ചാർത്തീ,,,
യോഗീന്ദ്രാണാം ത്വദംഗേഷ്വധികസുമധുരം,,,traditional
മുക്തിഭാജാം നിവാസോ,,,
നാഗേന്ദ്രഹാരായ ത്രിലോചനായ,,,traditional
ഭസ്മാംഗരാകായ മഹേശ്വരായ,,,
ഭോഗീന്ദ്ര ശയിനം പുരുകുശല ദായിനം,,,traditional
പുരുഷം ശാശ്വതം കലയേ,,,
അലർ ശരപരിതാപം ചൊല്‍വതി,,,
അളിവേണീ പണി ബാലേ,,,
വിലാപം കലാപം  നിരാസം വിരാമം,,,traditional
സന്താന കാരിണം സന്താപ ഹാരിണം,,,traditional
ചിന്താ വിമോചനം സിന്ധുരാധാരിണം,,,traditional
പടകാളി ചണ്ഡി ചങ്കരി പോര്‍ക്കലി മാര്‍ഗ്ഗിനി ഭഗവതി,,,സിനിമാ ഗാനം
അടിയനിൽ അലിവോടിന്നിത്തിരി കനിയണമേ.,,,
നന്ദ നന്ദന സുരാനന നന്ദനീയ ഗുണാനിധേ,,,traditional
കല്യാണീ കളവാണീ ചൊല്ലമ്മിണി ചൊല്ല്,,,സിനിമാ ഗാനം
കാറ്റേ കാറ്റേ നീ പൂക്കാമരത്തിൽ,,,സിനിമാ ഗാനം
പാട്ടും മൂളിവന്നോ?,,,
ഇത്ര വികൃതിയാണല്ലോ കാറ്റിന്,,,കവിത
നിനക്കിത്തിരിയും കനിവില്ലേ,,,
എന്തമ്മേ കൊച്ചുതുമ്പീ തുള്ളാതിരിക്കണത്,,,നാടക ഗാനം
