കവിതകൾ/ പാട്ടുകൾ ,വൃത്തം ,Poet ,Line
കരിയും മണ്ണിനു ദാഹമകറ്റാൻ ,കാകളി,Vellayani Arjun,2
ഞാനൊരു ചെമ്പനീർപ്പൂവായിരുന്നെങ്കിൽ,കാകളി,Vellayani Arjun,1
ജീവിതം ധന്യമായേനേ,കാകളി,Vellayani Arjun,2
ശബ്ദം താഴ്ത്തിത്തുടങ്ങിപ്പടിപടിയുയരേ,കാകളി,Kovoor,1
ചെന്നു നിൽക്കും പ്രസംഗം,കാകളി,Kovoor,2
കണ്ണുനീർത്തുള്ളിയോ കാലത്തിൻ ശീതത്തിൽ,കാകളി,Akkitham,1
കല്ലായുറച്ചു വളർന്നു വന്നു,കാകളി,Akkitham,2
ഇടവമാസപ്പെരുംമഴ പെയ്ത രാവതിൽ ,കാകളി,Anil  panachooran,1
കുളിരിന്നു കൂട്ടായി ഞാൻ നടന്നു,കാകളി,Anil  panachooran,2
അണയാത്ത ദുഃഖക്കനലിലൂടെ-പ്രാണ-,കാകളി,Anwarsha umayanalloor,1
ശിഖയുമായെങ്ങനെയോടിനീങ്ങും,കാകളി,Anwarsha umayanalloor,2
തിരിച്ചെന്തുലാഭമെന്നോർക്കാതെ തമ്മിൽ ,കാകളി,Anwarsha umayanalloor,1
നാമേകേണ്ടതാത്മവിശ്വാസം,കാകളി,Anwarsha umayanalloor,2
മധുരം പ്രതീക്ഷിച്ച ജീവിതങ്ങൾ-പക്ഷെ,കാകളി,Anwarsha umayanalloor,1
കണ്ണീരിൽ മുങ്ങിത്തിരിച്ചുപോകും.,കാകളി,Anwarsha umayanalloor,2
ഒരു കാലത്തുൽക്കൃഷ്ടർ ബുദ്ധഭിക്ഷുക്കളി- ,കാകളി,Idasseri,1
ത്തരുനീലത്തണൽകളിൽ വാണിരിയ്ക്കാം.,കാകളി,Idasseri,2
പഴയൊരപ്പാറക്കൽ പ്രതിമയുണ്ടപ്പോഴും ,കാകളി,Idasseri,1
പരിശുദ്ധി ചുറ്റും പൊഴിച്ചു നിൽപ്പൂ,കാകളി,Idasseri,2
തിരക്കിട്ടപോക്കിൽ വേലിത്തളിരും മുള്ളും ,കാകളി,Idasseri,1
വലിച്ചൊന്നായ്‌ ചവയ്ക്കുന്ന ചടച്ചപൈക്കൾ.,കാകളി,Idasseri,2
മാനത്തു വട്ടത്തിൽ പാറുമീ പക്ഷിതൻ,കാകളി,Ulloor,1
തേനൊലിഗ്ഗാനത്തിൻ സാരമെന്തോ?,കാകളി,Ulloor,2
ഭൂഖണ്ഡമൊന്നിനൊന്നന്യമല്ലെന്നതി-,കാകളി,Ulloor,1
താകവേ തൊട്ടറിഞ്ഞോതിടുന്നു.,കാകളി,Ulloor,2
ചേർക്കുണ്ടിൽത്താഴ്ത്തുമീത്തൂവിരൽത്തുമ്പത്രെ,കാകളി,Kadathanattu Madhaviyamma,1
നാട്ടിന്റെ നന്മകൾ നെയ്തെടുപ്പൂ,കാകളി,Kadathanattu Madhaviyamma,2
ചാരം നദിക്കും സുഹൃത്തിനും വിത്തിനും,കാകളി,Kureeppuzha sreekumar,1
നേരറിയിച്ച നേരത്തിനും നൽകുക,കാകളി,Kureeppuzha sreekumar,2
നിരൂപിക്കാൻ കൂടി വയ്യാത്തമാതിരി-,കാകളി,K.P Karuppan,1
യരുമക്കൂടൊന്നു നാരുകൊണ്ടുണ്ടാക്കി,കാകളി,K.P Karuppan,2
കടലില്‍ നിന്നു കരക്കുപിടിച്ചിട്ടപോലെ,കാകളി,Pavithran Theekkuni,1
ജീവിതം മാറ്റിവെച്ചവള്‍.,കാകളി,Pavithran Theekkuni,2
സംഘകാലം തമിഴഴകിൽ  പീലിവിരിക്കും.,കാകളി,P. Shivaprasad,1
ഭാരതിയാരെ തൊഴുതുവണങ്ങി,കാകളി,P. Shivaprasad,2
വീറുണർന്ന പാഞ്ചാലി മുടിയഴിക്കും.,കാകളി,P. Shivaprasad,1
വീരതിലകം ചാർത്തി നിൽക്കും വടക്കൻ പാട്ടേ,കാകളി,P. Shivaprasad,2
നേരിനെ പുണർന്നു നിൽക്കും വടക്കൻ പാട്ടേ,കാകളി,Punaloor Balan,1
ഇല്ല കേള്‍ക്കാന്‍ നിന്‍ മനസെങ്കിലെന്തിനായ്,കാകളി,Punaloor Balan,2
ഇന്നെന്‍ പദങ്ങള്‍.ജതികളീണങ്ങളും,കാകളി,Murukan Kattakkada,1
മഴവില്ലു താഴെ വീണുടയുന്ന മാനത്തു,കാകളി,Murukan Kattakkada,2
വിരഹ മേഘ ശ്യാമ ഘനഭംഗികള്‍,കാകളി,Murukan Kattakkada,1
വാക്കിന്റെ വിരുതിനാല്‍ തീര്‍ക്കുന്ന സ്പടിക സൗധം,കാകളി,Murukan Kattakkada,2
വയലു വാരങ്ങളില്‍ കുളിരു കോരീടാതെ,കാകളി,Murukan Kattakkada,1
പാർവ്വതീപൂജയ്ക്ക് പൂനുള്ളുവാൻ വന്ന,കാകളി,Vayalar Ramavarmma,1
ദ്രാവിഡരാജകുമാരിയാം താടക,കാകളി,Vayalar Ramavarmma,2
മിണ്ടി തുടങ്ങാൻ ശ്രമിയ്ക്കുന്ന പിഞ്ചിളം,കാകളി,Vallathol,1
ചുണ്ടിന്മേൽ അമ്മിഞ്ഞ പാലോടൊപ്പം,കാകളി,Vallathol,2
അമ്മയെന്നുള്ള രണ്ടക്ഷരമല്ലയോ,കാകളി,Vallathol,1
സമ്മേളിച്ചിടുന്നതൊന്നാമതായ്,കാകളി,Vallathol,2
മുക്തിതൻ മണിമയക്കാൽത്തളക്കിലുക്കങ്ങൾ,കാകളി,Vallathol,1
മുറ്റുമെൻ ഗുരുവിന്റെ ശോഭവചനങ്ങൾ,കാകളി,Vallathol,2
വന്ദനം വന്ദനം വാർമെത്തും ദ്രാവിഡ-,കാകളി,Vennikkulam,1
നന്ദിനിയായി വളർന്ന ഭാഷേ,കാകളി,Vennikkulam,2
ഒരു കൊച്ചുപുല്ലിന്‍‌റെ തണലില്ല പൂവില്ല,കാകളി,Sachidanandan,1
കിളിയും കിളിപാട്ടുമില്ല,കാകളി,Sachidanandan,2
മുന്നറിവു നൽകാതെ ഉച്ചസൂര്യനെപ്പോലും,കാകളി,Savithri Rajeevan,1
ഭ്രമിപ്പിച്ച് ഉള്ളുലച്ച് ചിതറിയാർത്തു മഴ,കാകളി,Savithri Rajeevan,2
ചുണ്ടൻ  വള്ളം തുഴയുന്ന തുഴച്ചിൽ  കണ്ടാൽ ,കാകളി,Sathyasheelan,1
കുറിച്ചിക്കൽ  പള്ളിയിൽ മെഴുക്തിരി വെക്കണം,കാകളി,Sathyasheelan,2
